recipe,n,tot,ann,vol,sh,mdd,cal
x11_v6_plus_gm__K30__equal,806,11.341891280197377,0.17601191969643315,0.2115790530516543,0.8318967173629522,-0.4692590993010761,0.3750847238947286
x1_full_value_quality__K30__equal,806,12.613897058298573,0.18347791754475784,0.22827729426007318,0.8037501852274628,-0.4848681353804728,0.37840786835947454
x3_v6_plus_cfp__K30__mcap,806,9.253933921811374,0.16203375273253462,0.2023648439686095,0.8007010978530887,-0.44309388870332855,0.365687175706058
x3_v6_plus_cfp__K50__mcap,806,7.84426945448992,0.15099905091222454,0.19069546616980315,0.7918334606747741,-0.4347378864622903,0.3473335442213003
x7_v6_plus_fcf_margin__K30__mcap,806,7.872719962141355,0.15123756757554796,0.19220681396074954,0.7868481062613738,-0.42262568259093913,0.3578522882196237
x11_v6_plus_gm__K50__mcap,806,7.875426109246154,0.15126021745697438,0.19480898683712997,0.7764540020088265,-0.41523022426303025,0.36428036452654183
x5_value_only_4__K30__equal,806,13.047401974844693,0.1858737403359223,0.23955724985979154,0.7759053021551666,-0.5327719583539509,0.34888048708531266
x1_full_value_quality__K30__mcap,806,9.072596917858045,0.16069684390975314,0.21830054071277813,0.7361266416705069,-0.45886670662609863,0.3502037554463388
x2_v6_plus_bp__K100__mcap,806,6.28905048774776,0.13672703980606515,0.18691628727874882,0.7314880998153132,-0.4566906346049199,0.2993865637826071
x2_v6_plus_bp__K50__mcap,806,7.549848613318748,0.1484877042965871,0.20427299911688773,0.7269081324429982,-0.48437099764767266,0.3065577935460863
x5_value_only_4__K50__mcap,806,8.525302356854057,0.15652085616029,0.22282808200110366,0.7024287726872538,-0.4900017199362713,0.3194291974743411
x5_value_only_4__K30__mcap,806,9.696731064802037,0.16520756421952032,0.2354011563607844,0.7018128830527798,-0.5096616604853013,0.3241514460048049
x5_value_only_4__K100__mcap,806,6.153847614841597,0.13535477958298192,0.2020103637883248,0.6700387893207921,-0.46592797139178677,0.29050580324392156
